"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","115","Cart suite","Shopping cart suite","Checkout button suite","YourCartPageTests","CheckoutButtonIsDisplayed","Check that CHckout button is displayed","Test description"
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","92","","","","YourCartPageTests","FailingTest","Check that test fails and screenshot is added","Test description"
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","161","","","","AlertsTests","WaitForAlerdWithDelayAndCheckItsText","WaitForAlerdWithDelayAndCheckItsText",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","166","","","","ProductsPageTests","RemoveButtonIsDisplayedAfterClickOnAddToCartButton","RemoveButtonIsDisplayedAfterClickOnAddToCartButton",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:27 GMT 2024","137","","","","WindowTests","OpenNewWindow","OpenNewWindow",""
"broken","Wed May 08 15:28:25 GMT 2024","Wed May 08 15:28:26 GMT 2024","869","","","","AlertsTests","AcceptAlert","AcceptAlert",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","150","","","","ProductsPageTests","RemoveButtonDisappearsAfterClickingOnIt","RemoveButtonDisappearsAfterClickingOnIt",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","115","","","","ProductsPageTests","AddToCartButtonIsDisplayed","AddToCartButtonIsDisplayed",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","110","Cart suite","Shopping cart suite","Shopping cart buttons suite","YourCartPageTests","ContinueShoppingButtonIsDisplayed","Check continue shopping button","Test description"
"broken","Wed May 08 15:28:25 GMT 2024","Wed May 08 15:28:26 GMT 2024","869","","","","AlertsTests","DeclineAlert","DeclineAlert",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","131","","","","LoggerTests","Logger","Logger",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","110","","","","UploadTests","UploadFile","UploadFile",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","166","","","","AlertsTests","EnterNameToAlert","EnterNameToAlert",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","123","","","","TestRailTests","CreateTestProject","CreateTestProject",""
"broken","Wed May 08 15:28:25 GMT 2024","Wed May 08 15:28:26 GMT 2024","869","","","","ActionsTests","HoverRightClickAndCheckAlertText","HoverRightClickAndCheckAlertText",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:27 GMT 2024","105","","","","WindowTests","OpenNewWindowAndCLoseIt","OpenNewWindowAndCLoseIt",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","184","","","","YourCartPageTests","AfterCLickingContinueShoppingUserIsNavigatedToProductsPage","After clicking Continue Shopping button user is navigated to Products page","Test description"
"broken","Wed May 08 15:28:25 GMT 2024","Wed May 08 15:28:26 GMT 2024","866","","","","DynamicControlsPageTests","CheckThatCheckboxDisappeared","CheckThatCheckboxDisappeared",""
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","101","","","","YourCartPageTests","ItemIsDisplayedInCart","Check that added item is displayed in cart","Test description"
"broken","Wed May 08 15:28:26 GMT 2024","Wed May 08 15:28:26 GMT 2024","121","","","","TestRailTests","DeleteTestProject","DeleteTestProject",""
